time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
0.8150010000,0.7700000000,1.722790143e-02,1.405709171e-09,-1.322446479e-02,-2.862334355e-09
0.8160010000,0.7750000000,1.730033391e-02,1.405927920e-09,-1.329012304e-02,-2.862540932e-09
0.8170010000,0.7800000000,1.737229901e-02,1.406136495e-09,-1.335552879e-02,-2.862746253e-09
0.8180010000,0.7850000000,1.744379749e-02,1.406346408e-09,-1.342068221e-02,-2.862951573e-09
0.8190010000,0.7900000000,1.751483008e-02,1.406556928e-09,-1.348558344e-02,-2.863155855e-09
0.8200010000,0.7950000000,1.758539754e-02,1.406768298e-09,-1.355023265e-02,-2.863362432e-09
0.8210010000,0.8000000000,1.765550062e-02,1.406980038e-09,-1.361462998e-02,-2.863567752e-09
0.8220010000,0.8050000000,1.772514006e-02,1.407191668e-09,-1.367877561e-02,-2.863772553e-09
0.8230010000,0.8100000000,1.779431661e-02,1.407404148e-09,-1.374266967e-02,-2.863978611e-09
0.8240010000,0.8150000000,1.786303100e-02,1.407616577e-09,-1.380631234e-02,-2.864183931e-09
0.8250010000,0.8200000000,1.793128399e-02,1.407829238e-09,-1.386970375e-02,-2.864388732e-09
0.8260010000,0.8250000000,1.799907631e-02,1.408041685e-09,-1.393284408e-02,-2.864594270e-09
0.8270010000,0.8300000000,1.806640871e-02,1.408254347e-09,-1.399573348e-02,-2.864801367e-09
0.8280010000,0.8350000000,1.813328192e-02,1.408467349e-09,-1.405837209e-02,-2.865005648e-09
0.8290010000,0.8400000000,1.819969668e-02,1.408680292e-09,-1.412076009e-02,-2.865211488e-09
0.8300010000,0.8450000000,1.826565373e-02,1.408892851e-09,-1.418289762e-02,-2.865417545e-09
0.8310010000,0.8500000000,1.833115380e-02,1.409105891e-09,-1.424478483e-02,-2.865624642e-09
0.8320010000,0.8550000000,1.839619763e-02,1.409319149e-09,-1.430642189e-02,-2.865829443e-09
0.8330010000,0.8600000000,1.846078595e-02,1.409532059e-09,-1.436780895e-02,-2.866036757e-09
0.8340010000,0.8650000000,1.852491948e-02,1.409745590e-09,-1.442894617e-02,-2.866240301e-09
0.8350010000,0.8700000000,1.858859897e-02,1.409958782e-09,-1.448983369e-02,-2.866446879e-09
0.8360010000,0.8750000000,1.865182514e-02,1.410171627e-09,-1.455047168e-02,-2.866653456e-09
0.8370010000,0.8800000000,1.871459872e-02,1.410384996e-09,-1.461086028e-02,-2.866858776e-09
0.8380010000,0.8850000000,1.877692044e-02,1.410598199e-09,-1.467099966e-02,-2.867064834e-09
0.8390010000,0.8900000000,1.883879102e-02,1.410811613e-09,-1.473088997e-02,-2.867270674e-09
0.8400010000,0.8950000000,1.890021119e-02,1.411024745e-09,-1.479053136e-02,-2.867477988e-09
0.8410010000,0.9000000000,1.896118167e-02,1.411238173e-09,-1.484992399e-02,-2.867682789e-09
0.8420010000,0.9050000000,1.902170318e-02,1.411451094e-09,-1.490906801e-02,-2.867889366e-09
0.8430010000,0.9100000000,1.908177644e-02,1.411664744e-09,-1.496796358e-02,-2.868095424e-09
0.8440010000,0.9150000000,1.914140218e-02,1.411877614e-09,-1.502661085e-02,-2.868302001e-09
0.8450010000,0.9200000000,1.920058111e-02,1.412091675e-09,-1.508500997e-02,-2.868509098e-09
0.8460010000,0.9250000000,1.925931396e-02,1.412304887e-09,-1.514316110e-02,-2.868715675e-09
0.8470010000,0.9300000000,1.931760143e-02,1.412518033e-09,-1.520106440e-02,-2.868922252e-09
