time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
0.7320010000,0.3550000000,0.0124656223557,-9.156812708e-10,-0.00908652252279,0
0.7500010000,0.4450000000,0.0150215686124,-9.124256808e-10,-0.0111076680028,0
0.7690010000,0.5400000000,0.017473939939,-9.089835821e-10,-0.0131205251195,0
0.7880010000,0.6350000000,0.0196838492255,-9.055362512e-10,-0.0150113076562,0
0.8070010000,0.7300000000,0.0216608084921,-9.020828282e-10,-0.016781778633,0
0.8260010000,0.8250000000,0.0234139279286,-8.986160278e-10,-0.0184336741997,0
0.8460010000,0.9250000000,0.025027077415,-8.949648952e-10,-0.0200462896062,0
0.8650010000,1.0200000000,0.0263476483415,-8.914930694e-10,-0.0214601202929,0
0.8850010000,1.1200000000,0.0275235565178,-8.878296138e-10,-0.0228258419194,0
0.9050010000,1.2200000000,0.0284885300442,-8.841588013e-10,-0.0240677687859,0
0.9260010000,1.3250000000,0.0292839937803,-8.802900587e-10,-0.0252406021723,0
0.9460010000,1.4250000000,0.0298425957966,-8.765761969e-10,-0.0262345578587,0
0.9670010000,1.5300000000,0.0302287419919,-8.718815063e-10,-0.027151039345,0
0.9840010000,1.6150000000,0.0303715510589,-8.689423746e-10,-0.027798923022,0
1.0180010000,1.7850000000,0.0304371114334,-8.634184356e-10,-0.028846823316,0
1.0770010000,2.0800000000,0.0305509535126,-8.525533630e-10,-0.0299021905056,0
1.9830010000,6.6100000000,0.0323107522,0,-0.0369867386,0
