time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
0.2170010000,-2.2200000000,-1.1441650043,-1.1438208916,2.0635504752,2.0633054608
0.2180010000,-2.2150000000,-1.1405261414,-1.1401809893,2.0569990666,2.0567533201
0.2190010000,-2.2100000000,-1.1368875235,-1.1365413256,2.0504480900,2.0502016071
0.2200010000,-2.2050000000,-1.1332491521,-1.1329019020,2.0438975481,2.0436503242
0.2210010000,-2.2000000000,-1.1296110288,-1.1292627200,2.0373474437,2.0370994743
0.2220010000,-2.1950000000,-1.1259731552,-1.1256237811,2.0307977795,2.0305490601
0.2230010000,-2.1900000000,-1.1223355327,-1.1219850869,2.0242485582,2.0239990841
0.2240010000,-2.1850000000,-1.1186981631,-1.1183466389,2.0176997826,2.0174495494
0.2250010000,-2.1800000000,-1.1150610480,-1.1147084386,2.0111514557,2.0109004585
0.2260010000,-2.1750000000,-1.1114241889,-1.1110704876,2.0046035802,2.0043518142
0.2270010000,-2.1700000000,-1.1077875876,-1.1074327875,1.9980561589,1.9978036196
0.2280010000,-2.1650000000,-1.1041512457,-1.1037953399,1.9915091949,1.9912558773
0.2290010000,-2.1600000000,-1.1005151648,-1.1001581465,1.9849626910,1.9847085903
0.2300010000,-2.1550000000,-1.0968793467,-1.0965212087,1.9784166502,1.9781617615
0.2310010000,-2.1500000000,-1.0932437931,-1.0928845284,1.9718710755,1.9716153938
0.2320010000,-2.1450000000,-1.0896085057,-1.0892481070,1.9653259698,1.9650694901
0.2330010000,-2.1400000000,-1.0859734862,-1.0856119465,1.9587813363,1.9585240536
0.2340010000,-2.1350000000,-1.0823387365,-1.0819760483,1.9522371780,1.9519790872
0.2350010000,-2.1300000000,-1.0787042582,-1.0783404142,1.9456934981,1.9454345940
0.2360010000,-2.1250000000,-1.0750700533,-1.0747050460,1.9391502995,1.9388905771
0.2370010000,-2.1200000000,-1.0714361234,-1.0710699454,1.9326075856,1.9323470395
0.2380010000,-2.1150000000,-1.0678024705,-1.0674351141,1.9260653596,1.9258039844
0.2390010000,-2.1100000000,-1.0641690964,-1.0638005540,1.9195236245,1.9192614151
0.2400010000,-2.1050000000,-1.0605360030,-1.0601662668,1.9129823838,1.9127193346
0.2410010000,-2.1000000000,-1.0569031921,-1.0565322543,1.9064416406,1.9061777463
0.2420010000,-2.0950000000,-1.0532706656,-1.0528985184,1.8999013984,1.8996366534
0.2430010000,-2.0900000000,-1.0496384256,-1.0492650609,1.8933616604,1.8930960592
0.2440010000,-2.0850000000,-1.0460064738,-1.0456318837,1.8868224301,1.8865559671
0.2450010000,-2.0800000000,-1.0423748124,-1.0419989887,1.8802837109,1.8800163804
0.2460010000,-2.0750000000,-1.0387434432,-1.0383663777,1.8737455062,1.8734773025
0.2470010000,-2.0700000000,-1.0351123684,-1.0347340528,1.8672078196,1.8669387370
0.2480010000,-2.0650000000,-1.0314815898,-1.0311020158,1.8606706546,1.8604006871
0.2490010000,-2.0600000000,-1.0278511096,-1.0274702686,1.8541340147,1.8538631565
0.2500010000,-2.0550000000,-1.0242209299,-1.0238388134,1.8475979035,1.8473261487
0.2510010000,-2.0500000000,-1.0205910526,-1.0202076521,1.8410623248,1.8407896673
0.2520010000,-2.0450000000,-1.0169614800,-1.0165767866,1.8345272821,1.8342537158
0.2530010000,-2.0400000000,-1.0133322141,-1.0129462192,1.8279927792,1.8277182981
0.2540010000,-2.0350000000,-1.0097032572,-1.0093159517,1.8214588198,1.8211834176
0.2550010000,-2.0300000000,-1.0060746114,-1.0056859864,1.8149254077,1.8146490782
0.2560010000,-2.0250000000,-1.0024462789,-1.0020563253,1.8083925468,1.8081152836
0.2570010000,-2.0200000000,-0.9988182619,-0.9984269705,1.8018602409,1.8015820377
0.2580010000,-2.0150000000,-0.9951905626,-0.9947979243,1.7953284939,1.7950493443
0.2590010000,-2.0100000000,-0.9915631834,-0.9911691887,1.7887973099,1.7885172072
0.2600010000,-2.0050000000,-0.9879361266,-0.9875407660,1.7822666927,1.7819856305
0.2610010000,-2.0000000000,-0.9843093944,-0.9839126585,1.7757366465,1.7754546180
0.2620010000,-1.9950000000,-0.9806829893,-0.9802848682,1.7692071752,1.7689241738
0.2630010000,-1.9900000000,-0.9770569135,-0.9766573976,1.7626782831,1.7623943019
0.2640010000,-1.9850000000,-0.9734311695,-0.9730302489,1.7561499743,1.7558650064
0.2650010000,-1.9800000000,-0.9698057597,-0.9694034244,1.7496222530,1.7493362916
0.2660010000,-1.9750000000,-0.9661806865,-0.9657769265,1.7430951234,1.7428081614
0.2670010000,-1.9700000000,-0.9625559525,-0.9621507575,1.7365685900,1.7362806203
