time,pulldown_on,pulldown_off,pullup_on,pullup_off
7.02500000e-09,2.18430264,3.29918494,1.08547179,3.8840516e-04
7.05000000e-09,2.18302647,3.29920753,1.08631619,3.8032943e-04
7.07500000e-09,2.18177756,3.29922951,1.08713890,3.7241702e-04
7.10000000e-09,2.18055528,3.29925091,1.08794047,3.6466483e-04
7.12500000e-09,2.17935904,3.29927173,1.08872144,3.5706979e-04
7.15000000e-09,2.17818825,3.29929198,1.08948234,3.4962891e-04
7.17500000e-09,2.17704235,3.29931169,1.09022368,3.4233922e-04
7.20000000e-09,2.17592076,3.29933086,1.09094596,3.3519781e-04
7.22500000e-09,2.17482296,3.29934952,1.09164967,3.2820183e-04
7.25000000e-09,2.17374840,3.29936766,1.09233527,3.2134847e-04
7.27500000e-09,2.17269658,3.29938532,1.09300324,3.1463496e-04
7.30000000e-09,2.17166699,3.29940249,1.09365402,3.0805859e-04
7.32500000e-09,2.17065914,3.29941919,1.09428805,3.0161669e-04
7.35000000e-09,2.16967256,3.29943544,1.09490577,2.9530664e-04
7.37500000e-09,2.16870676,3.29945124,1.09550758,2.8912587e-04
7.40000000e-09,2.16776131,3.29946661,1.09609389,2.8307183e-04
7.42500000e-09,2.16683575,3.29948156,1.09666511,2.7714204e-04
7.45000000e-09,2.16592964,3.29949609,1.09722161,2.7133406e-04
7.47500000e-09,2.16504257,3.29951023,1.09776378,2.6564550e-04
7.50000000e-09,2.16417412,3.29952398,1.09829197,2.6007398e-04
7.52500000e-09,2.16332388,3.29953735,1.09880656,2.5461721e-04
7.55000000e-09,2.16249146,3.29955035,1.09930788,2.4927291e-04
7.57500000e-09,2.16167648,3.29956299,1.09979628,2.4403883e-04
7.60000000e-09,2.16087855,3.29957528,1.10027209,2.3891281e-04
7.62500000e-09,2.16009732,3.29958723,1.10073563,2.3389267e-04
7.65000000e-09,2.15933241,3.29959885,1.10118722,2.2897632e-04
7.67500000e-09,2.15858348,3.29961015,1.10162716,2.2416168e-04
7.70000000e-09,2.15785018,3.29962113,1.10205575,2.1944671e-04
7.72500000e-09,2.15713219,3.29963181,1.10247328,2.1482942e-04
7.75000000e-09,2.15642917,3.29964220,1.10288004,2.1030784e-04
7.77500000e-09,2.15574079,3.29965229,1.10327631,2.0588006e-04
7.80000000e-09,2.15506676,3.29966210,1.10366235,2.0154419e-04
7.82500000e-09,2.15440676,3.29967164,1.10403842,1.9729837e-04
7.85000000e-09,2.15376049,3.29968092,1.10440478,1.9314080e-04
7.87500000e-09,2.15312767,3.29968993,1.10476169,1.8906968e-04
7.90000000e-09,2.15250800,3.29969869,1.10510938,1.8508327e-04
7.92500000e-09,2.15190120,3.29970721,1.10544809,1.8117985e-04
7.95000000e-09,2.15130701,3.29971549,1.10577805,1.7735774e-04
7.97500000e-09,2.15072515,3.29972354,1.10609949,1.7361529e-04
8.00000000e-09,2.15015537,3.29973136,1.10641263,1.6995088e-04
8.02500000e-09,2.14959740,3.29973897,1.10671767,1.6636293e-04
8.05000000e-09,2.14905101,3.29974636,1.10701484,1.6284987e-04
8.07500000e-09,2.14851593,3.29975354,1.10730432,1.5941018e-04
8.10000000e-09,2.14799195,3.29976052,1.10758633,1.5604237e-04
8.12500000e-09,2.14747881,3.29976731,1.10786104,1.5274495e-04
8.15000000e-09,2.14697630,3.29977391,1.10812866,1.4951650e-04
8.17500000e-09,2.14648419,3.29978032,1.10838936,1.4635560e-04
8.20000000e-09,2.14600226,3.29978655,1.10864332,1.4326087e-04
8.22500000e-09,2.14553030,3.29979260,1.10889071,1.4023095e-04
8.25000000e-09,2.14506809,3.29979848,1.10913170,1.3726451e-04
8.27500000e-09,2.14461544,3.29980420,1.10936647,1.3436025e-04
8.30000000e-09,2.14417214,3.29980976,1.10959516,1.3151688e-04
8.32500000e-09,2.14373799,3.29981516,1.10981794,1.2873315e-04
8.35000000e-09,2.14331281,3.29982041,1.11003495,1.2600784e-04
8.37500000e-09,2.14289641,3.29982551,1.11024636,1.2333974e-04
8.40000000e-09,2.14248860,3.29983047,1.11045229,1.2072768e-04
8.42500000e-09,2.14208921,3.29983528,1.11065290,1.1817048e-04
